,1,2,3,4,5,6,7,8,9,10,11,12
20050520__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20050520__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20050527__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20050527__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050603__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20050603__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050610__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050610__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050617__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050617__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050624__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050624__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20050701__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050701__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050708__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20050708__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20050715__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20050715__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20050722__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20050722__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050729__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20050729__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050805__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20050805__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20050812__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050812__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20050819__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050819__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050826__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20050826__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050902__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050902__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20050909__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050909__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20050916__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050916__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20050923__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20050923__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20050930__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20050930__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20051007__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20051007__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20051014__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20051014__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20051021__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20051021__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20051028__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20051028__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20051104__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20051104__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20051111__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20051111__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20051118__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20051118__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20051125__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20051125__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20051202__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20051202__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20051209__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20051209__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20051216__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20051216__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20051223__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20051223__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20051230__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20051230__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20060106__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060106__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060113__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20060113__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060120__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20060120__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060127__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060127__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060203__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20060203__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060210__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20060210__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20060217__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060217__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060224__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060224__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20060303__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20060303__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060310__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060310__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20060317__star_1,False,False,False,False,False,False,True,False,False,False,False,False
