,1,2,3,4,5,6,7,8,9,10
2009245__star,0,0,0,0,0,0,0,0,0,1
2009246__star,0,0,0,0,0,0,1,0,0,0
2009247__star,0,0,1,0,0,0,0,0,0,0
2009248__star,0,1,0,0,0,0,0,0,0,0
2009249__star,0,0,0,0,0,0,0,0,1,0
2009250__star,1,0,0,0,0,0,0,0,0,0
2009251__star,1,0,0,0,0,0,0,0,0,0
2009252__star,0,0,0,0,0,0,0,0,1,0
2009253__star,0,0,0,0,0,1,0,0,0,0
2009254__star,0,0,0,0,0,0,0,0,1,0
2009255__star,0,0,0,0,0,0,1,0,0,0
2009256__star,0,0,0,0,0,1,0,0,0,0
2009257__star,0,0,0,0,0,1,0,0,0,0
2009258__star,0,0,0,0,0,0,0,1,0,0
2009259__star,0,0,0,0,0,1,0,0,0,0
2009260__star,0,0,0,1,0,0,0,0,0,0
2009261__star,0,0,0,0,0,1,0,0,0,0
2009262__star,0,0,0,0,0,1,0,0,0,0
2009263__star,0,0,0,0,0,0,1,0,0,0
2009264__star,0,0,0,0,1,0,0,0,0,0
2009265__star,1,0,0,0,0,0,0,0,0,0
2009266__star,1,0,0,0,0,0,0,0,0,0
2009267__star,0,1,0,0,0,0,0,0,0,0
2009268__star,0,0,0,0,1,0,0,0,0,0
2009269__star,0,0,0,0,0,1,0,0,0,0
2009270__star,0,0,0,0,0,0,0,0,1,0
2009271__star,0,0,0,0,0,1,0,0,0,0
2009272__star,0,0,0,0,1,0,0,0,0,0
2009273__star,0,0,0,0,0,1,0,0,0,0
2009274__star,0,0,0,0,0,0,0,0,0,1
2010001__star,0,0,0,1,0,0,0,0,0,0
2010002__star,0,0,0,0,0,0,0,0,1,0
2010003__star,0,0,1,0,0,0,0,0,0,0
2010004__star,0,0,0,0,0,0,1,0,0,0
2010005__star,0,0,0,1,0,0,0,0,0,0
2010006__star,0,0,0,0,0,0,0,1,0,0
2010007__star,0,0,0,0,0,0,0,0,0,1
2010008__star,0,0,0,0,0,0,0,0,0,1
2010009__star,0,0,0,0,0,0,0,0,1,0
2010010__star,1,0,0,0,0,0,0,0,0,0
2010011__star,0,0,0,0,0,0,0,0,1,0
2010012__star,0,0,0,0,0,0,0,0,1,0
2010013__star,0,0,1,0,0,0,0,0,0,0
2010014__star,0,1,0,0,0,0,0,0,0,0
2010015__star,0,0,0,0,0,0,1,0,0,0
2010016__star,0,0,0,0,1,0,0,0,0,0
2010017__star,0,0,0,1,0,0,0,0,0,0
2010018__star,0,0,0,0,0,0,0,0,0,1
2010019__star,0,0,0,0,1,0,0,0,0,0
2010020__star,0,0,0,0,0,0,0,1,0,0
2010021__star,0,0,0,0,1,0,0,0,0,0
2010022__star,0,0,0,0,0,0,0,1,0,0
2010023__star,0,1,0,0,0,0,0,0,0,0
2010024__star,0,0,0,0,0,0,0,1,0,0
2010025__star,1,0,0,0,0,0,0,0,0,0
2010026__star,0,0,0,0,0,0,1,0,0,0
2010027__star,0,0,0,0,0,0,1,0,0,0
2010028__star,0,0,0,0,0,0,0,0,1,0
2010029__star,0,0,0,0,0,0,0,0,0,1
2010030__star,0,1,0,0,0,0,0,0,0,0
2010031__star,0,0,0,0,0,0,1,0,0,0
2010032__star,0,0,0,0,0,1,0,0,0,0
2010033__star,0,0,0,0,0,0,1,0,0,0
2010034__star,0,0,1,0,0,0,0,0,0,0
2010035__star,0,0,0,0,0,0,0,0,1,0
2010036__star,0,0,0,0,0,1,0,0,0,0
2010037__star,0,0,0,0,0,1,0,0,0,0
2010038__star,0,1,0,0,0,0,0,0,0,0
2010039__star,1,0,0,0,0,0,0,0,0,0
2010040__star,0,1,0,0,0,0,0,0,0,0
2010041__star,0,0,0,0,0,1,0,0,0,0
2010042__star,1,0,0,0,0,0,0,0,0,0
2010043__star,0,0,0,1,0,0,0,0,0,0
2010044__star,0,0,0,0,0,0,0,0,0,1
2010045__star,0,0,0,0,0,0,1,0,0,0
2010046__star,0,0,1,0,0,0,0,0,0,0
2010047__star,0,0,0,0,0,0,0,1,0,0
2010048__star,0,0,0,1,0,0,0,0,0,0
2010049__star,0,0,0,1,0,0,0,0,0,0
2010050__star,0,0,0,0,0,0,0,0,0,1
2010051__star,1,0,0,0,0,0,0,0,0,0
2010052__star,0,0,0,0,1,0,0,0,0,0
2010053__star,0,0,0,0,0,1,0,0,0,0
2010054__star,1,0,0,0,0,0,0,0,0,0
2010055__star,0,1,0,0,0,0,0,0,0,0
2010056__star,0,0,0,0,1,0,0,0,0,0
2010057__star,0,0,0,1,0,0,0,0,0,0
2010058__star,0,0,0,0,0,0,0,1,0,0
2010059__star,0,0,0,0,1,0,0,0,0,0
2010060__star,0,0,0,0,0,0,1,0,0,0
2010061__star,0,0,0,0,0,0,0,0,0,1
2010062__star,1,0,0,0,0,0,0,0,0,0
2010063__star,1,0,0,0,0,0,0,0,0,0
2010064__star,1,0,0,0,0,0,0,0,0,0
2010065__star,1,0,0,0,0,0,0,0,0,0
2010066__star,0,0,0,0,0,0,0,0,0,1
2010067__star,0,0,0,0,1,0,0,0,0,0
2010068__star,1,0,0,0,0,0,0,0,0,0
2010069__star,0,0,0,0,0,0,0,0,0,1
2010070__star,0,0,0,0,0,0,1,0,0,0
2010071__star,0,1,0,0,0,0,0,0,0,0
2010072__star,0,0,0,0,0,0,0,0,0,1
2010073__star,0,0,0,1,0,0,0,0,0,0
2010074__star,0,1,0,0,0,0,0,0,0,0
2010075__star,1,0,0,0,0,0,0,0,0,0
2010076__star,0,0,0,0,0,0,0,0,0,1
2010077__star,0,0,0,0,0,0,0,1,0,0
2010078__star,0,1,0,0,0,0,0,0,0,0
2010079__star,0,0,0,0,0,0,0,1,0,0
2010080__star,0,0,0,0,0,0,0,0,0,1
2010081__star,0,0,0,0,0,0,0,0,0,1
2010082__star,0,0,0,0,0,0,1,0,0,0
2010083__star,0,0,0,0,0,1,0,0,0,0
2010084__star,1,0,0,0,0,0,0,0,0,0
2010085__star,0,0,0,0,0,1,0,0,0,0
2010086__star,0,0,0,0,1,0,0,0,0,0
2010087__star,1,0,0,0,0,0,0,0,0,0
2010088__star,0,0,0,0,1,0,0,0,0,0
2010089__star,0,0,0,0,0,0,1,0,0,0
2010090__star,0,0,0,0,0,0,0,0,0,1
2010091__star,0,0,0,1,0,0,0,0,0,0
2010092__star,0,0,1,0,0,0,0,0,0,0
2010093__star,0,0,0,0,0,0,0,1,0,0
2010094__star,0,0,0,0,0,0,1,0,0,0
2010095__star,0,0,0,0,0,1,0,0,0,0
2010096__star,0,1,0,0,0,0,0,0,0,0
2010097__star,0,0,0,0,1,0,0,0,0,0
2010098__star,0,0,0,0,0,0,0,0,1,0
2010099__star,0,0,0,0,0,1,0,0,0,0
2010100__star,0,0,0,0,0,0,1,0,0,0
2010101__star,0,0,0,0,1,0,0,0,0,0
2010102__star,0,0,1,0,0,0,0,0,0,0
2010103__star,0,1,0,0,0,0,0,0,0,0
2010104__star,0,0,0,1,0,0,0,0,0,0
2010105__star,0,1,0,0,0,0,0,0,0,0
2010106__star,0,0,1,0,0,0,0,0,0,0
2010107__star,0,0,0,0,0,0,0,1,0,0
2010108__star,0,0,1,0,0,0,0,0,0,0
2010109__star,0,0,0,0,1,0,0,0,0,0
2010110__star,0,0,0,0,0,0,0,1,0,0
2010111__star,0,0,0,0,0,1,0,0,0,0
2010112__star,1,0,0,0,0,0,0,0,0,0
2010113__star,0,0,0,0,0,0,0,0,1,0
2010114__star,1,0,0,0,0,0,0,0,0,0
2010115__star,0,1,0,0,0,0,0,0,0,0
2010116__star,0,0,0,0,0,0,0,0,1,0
2010117__star,0,0,1,0,0,0,0,0,0,0
2010118__star,1,0,0,0,0,0,0,0,0,0
