,ball_1,ball_2,ball_3,ball_4,ball_5,star
2008086,44,35,4,32,39,10
2008087,43,7,48,31,15,3
2008088,11,28,12,48,14,2
2008089,13,11,22,46,19,3
2008090,46,37,44,4,6,2
2008091,43,28,22,41,49,4
2008092,22,4,27,36,45,3
2008093,26,2,23,20,24,8
2008094,47,4,38,15,8,7
2008095,25,35,33,5,22,9
2008096,12,9,21,45,38,6
2008097,45,35,34,40,23,5
2008098,41,10,48,43,22,3
2008099,1,6,19,23,41,6
2008100,34,26,37,41,2,4
2008101,45,12,30,36,20,6
2008102,43,36,31,30,17,8
2008103,49,11,13,25,28,5
2008104,18,36,20,32,22,7
2008105,32,15,19,37,38,1
2008106,26,29,34,42,31,10
2008107,48,2,5,13,24,4
2008108,29,15,1,31,11,8
2008109,41,38,10,35,11,3
2008110,24,38,8,42,31,7
2008111,48,5,15,2,27,8
2008112,49,44,31,13,33,9
2008113,41,46,2,22,26,5
2008114,5,27,2,35,48,3
2008115,33,27,2,41,4,5
2008116,36,47,17,49,37,10
2008117,26,38,14,21,27,4
2008118,11,5,20,30,24,8
2009119,47,22,24,12,38,1
2009120,8,29,36,25,11,2
2009121,37,39,9,33,11,8
2009122,49,40,21,10,44,2
2009123,47,11,29,4,9,8
2009124,5,42,1,19,13,3
2009125,2,46,27,37,5,4
2009126,39,38,7,32,26,9
2009127,32,47,10,35,3,3
2009128,5,40,15,20,28,10
2009129,39,8,13,49,10,10
2009130,40,7,41,38,46,5
2009131,6,31,40,18,36,7
2009132,4,38,12,31,41,8
2009133,20,43,47,27,10,3
2009134,4,16,34,22,49,10
2009135,17,13,31,3,46,5
2009136,35,46,10,1,14,8
2009137,12,24,18,44,16,4
2009138,46,23,29,21,16,4
2009139,28,40,10,23,43,9
2009140,47,21,48,39,40,5
2009141,3,14,34,31,22,7
2009142,15,4,21,30,36,4
2009143,45,14,41,25,16,10
2009144,41,29,14,48,8,10
2009145,7,9,29,25,10,6
2009146,36,15,24,2,22,8
2009147,27,32,5,40,3,9
2009148,4,7,11,22,8,5
2009149,27,18,20,11,38,6
2009150,27,45,35,36,44,2
2009151,42,3,39,20,34,2
2009152,45,32,15,2,39,10
2009153,1,25,10,2,33,4
2009154,10,34,15,33,5,7
2009155,19,26,23,22,27,2
2009156,32,47,45,29,24,10
2009157,37,27,30,22,45,3
