,1,2,3,4,5,6,7,8,9,10,11,12
2006001__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006002__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006002__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006003__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006003__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006004__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006004__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006005__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2006005__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006006__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006006__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2006007__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006007__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006008__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006008__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006009__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2006009__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006010__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006010__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2006011__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006011__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006012__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006012__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2006013__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006013__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006014__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006014__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006015__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006015__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006016__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006016__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2006017__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006017__star_2,0,0,0,0,1,0,0,0,0,0,0,0
